order_id,date,customer,region,product,quantity,price,total_sale,month
1,2024-01-19,Carlos,Oeste,Monitor,1,287.38,287.38,2024-01
2,2025-09-25,Diego,Este,Tablet,1,536.09,536.09,2025-09
3,2024-08-12,Maria,Sur,Monitor,2,566.46,1132.92,2024-08
4,2024-07-08,Carlos,Norte,Laptop,3,1119.27,3357.81,2024-07
5,2024-02-06,Valeria,Oeste,Tablet,1,767.05,767.05,2024-02
6,2024-03-12,Jorge,Centro,Monitor,5,557.02,2785.1,2024-03
7,2024-09-27,Maria,Sur,Laptop,5,1102.24,5511.2,2024-09
8,2024-06-09,Maria,Sur,Headphones,3,106.77,320.31,2024-06
9,2025-03-24,Maria,Oeste,Keyboard,3,118.52,355.56,2025-03
10,2024-05-31,Luis,Este,Headphones,2,144.97,289.94,2024-05
11,2025-10-12,Diego,Sur,Monitor,3,315.27,945.81,2025-10
12,2025-10-20,Maria,Oeste,Keyboard,3,113.2,339.6,2025-10
13,2024-12-27,Valeria,Centro,Monitor,5,321.5,1607.5,2024-12
14,2025-08-27,Ana,Centro,Laptop,2,1120.41,2240.82,2025-08
15,2024-12-27,Carlos,Centro,Tablet,1,727.05,727.05,2024-12
16,2025-10-10,Sofia,Oeste,Laptop,3,1451.0,4353.0,2025-10
17,2024-02-01,Jorge,Sur,Mouse,3,27.5,82.5,2024-02
18,2024-12-20,Ana,Sur,Tablet,1,608.25,608.25,2024-12
19,2024-07-21,Jorge,Norte,Tablet,3,526.91,1580.73,2024-07
20,2025-02-08,Carlos,Norte,Mouse,4,25.59,102.36,2025-02
21,2024-10-13,Jorge,Oeste,Headphones,2,41.64,83.28,2024-10
22,2025-09-30,Jorge,Sur,Keyboard,5,94.28,471.4,2025-09
23,2025-07-15,Maria,Centro,Laptop,1,1498.68,1498.68,2025-07
24,2025-09-10,Luis,Este,Headphones,2,175.58,351.16,2025-09
25,2025-11-16,Jorge,Este,Headphones,1,70.75,70.75,2025-11
26,2024-08-31,Valeria,Este,Keyboard,4,96.42,385.68,2024-08
27,2025-02-04,Sofia,Centro,Headphones,2,188.64,377.28,2025-02
28,2024-12-02,Diego,Centro,Headphones,4,52.84,211.36,2024-12
29,2025-12-02,Carlos,Sur,Monitor,4,402.95,1611.8,2025-12
30,2025-11-03,Sofia,Centro,Laptop,3,1459.35,4378.049999999999,2025-11
31,2024-06-09,Ana,Norte,Headphones,1,52.91,52.91,2024-06
32,2024-07-25,Diego,Centro,Headphones,3,108.89,326.67,2024-07
33,2024-09-15,Jorge,Centro,Keyboard,2,71.0,142.0,2024-09
34,2024-09-24,Maria,Oeste,Laptop,2,1142.97,2285.94,2024-09
35,2025-07-26,Luis,Este,Tablet,4,528.4,2113.6,2025-07
36,2024-04-24,Luis,Este,Laptop,2,960.63,1921.26,2024-04
37,2025-09-18,Carlos,Oeste,Laptop,2,922.29,1844.58,2025-09
38,2025-08-28,Valeria,Oeste,Keyboard,1,55.6,55.6,2025-08
39,2025-06-23,Sofia,Oeste,Tablet,1,788.58,788.58,2025-06
40,2024-12-02,Ana,Sur,Mouse,3,23.28,69.84,2024-12
